UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_012,146.11,-22.81,-25.117,-97.929,0.02000798,0.576,1.21,34.19,9.4,0.487,37.68,37.86,0.0,0.0,HAPS
UE_013,173.84,16.258,13.526,-74.087,0.00011611,592.257,1.27,0.11,9.4,0.5795,0.0,0.0,82.34,4.56,HAPS
UE_014,109.66,19.145,14.761,-74.421,0.00010577,643.6,0.82,0.59,9.4,0.3655,0.0,0.0,86.662,4.95,HAPS
UE_015,115.97,10.792,9.564,-80.327,0.00102434,432.683,0.99,1.06,9.4,0.3866,0.0,0.0,68.473,3.33,HAPS
UE_016,143.63,11.052,7.849,-79.103,0.00100604,367.439,1.53,5.57,9.4,0.4788,0.0,0.0,62.47,2.83,HAPS
UE_017,45.21,22.648,20.228,-73.796,1.114e-05,875.323,0.81,3.17,9.4,0.1507,0.0,0.0,100.0,6.73,HAPS
UE_018,105.97,17.951,15.519,-75.63,0.00010421,675.365,1.1,2.19,9.4,0.3532,0.0,0.0,89.315,5.2,HAPS
UE_019,111.78,24.37,21.73,-73.085,1.948e-05,939.679,1.42,3.39,9.4,0.3726,0.0,0.0,100.0,7.23,HAPS
UE_000,149.59,21.159,18.151,-76.291,0.00010352,786.702,1.34,2.75,9.4,0.4986,0.0,0.0,98.529,6.05,HAPS
UE_001,109.66,22.025,19.041,-74.227,0.00010823,824.598,0.73,1.57,9.4,0.3655,0.0,0.0,100.0,6.34,HAPS
UE_002,89.81,16.495,13.266,-78.231,0.00011144,581.535,1.11,0.3,9.4,0.2994,0.0,0.0,81.431,4.47,HAPS
UE_003,171.28,9.793,9.04,-79.138,0.00100082,412.456,1.73,3.11,9.4,0.5709,0.0,0.0,66.641,3.17,HAPS
UE_004,144.65,15.135,11.286,-76.602,0.00100856,500.823,1.31,0.1,9.4,0.4822,0.0,0.0,74.499,3.85,HAPS
UE_005,87.93,11.583,7.985,-79.556,0.00100829,372.523,0.65,3.44,9.4,0.2931,0.0,0.0,62.948,2.87,HAPS
UE_006,170.57,12.946,9.967,-78.971,0.00100377,448.448,1.86,0.52,9.4,0.5686,0.0,0.0,69.886,3.45,HAPS
UE_007,49.95,19.878,17.851,-73.675,0.00011009,773.959,1.0,1.56,9.4,0.1665,0.0,0.0,97.479,5.95,HAPS
UE_008,91.38,20.383,15.138,-76.587,0.00011496,659.414,0.73,1.24,9.4,0.3046,0.0,0.0,87.985,5.07,HAPS
UE_009,175.32,10.906,11.549,-79.75,0.00100047,511.452,1.42,4.11,9.4,0.5844,0.0,0.0,75.423,3.93,HAPS
UE_010,110.11,15.231,12.956,-76.904,0.00010224,568.785,1.37,2.46,9.4,0.367,0.0,0.0,80.347,4.38,HAPS
UE_011,116.23,14.197,9.057,-79.243,0.00101887,413.098,1.49,2.67,9.4,0.3874,0.0,0.0,66.7,3.18,HAPS
UE_012,145.93,-20.63,-22.755,-95.259,0.02001094,0.992,1.17,9.52,9.4,0.4864,37.68,37.81,0.0,0.01,HAPS
UE_013,174.0,18.463,16.993,-75.926,0.00010427,737.554,1.87,3.25,9.4,0.58,0.0,0.0,94.475,5.67,HAPS
UE_014,109.47,12.31,5.989,-79.075,0.02000628,300.763,1.23,0.85,9.4,0.3649,0.0,0.0,55.962,2.31,HAPS
UE_015,115.8,16.573,16.242,-76.973,0.00011503,705.831,1.52,0.3,9.4,0.386,0.0,0.0,91.848,5.43,HAPS
UE_016,143.59,13.389,9.069,-77.501,0.00100157,413.57,1.74,0.9,9.4,0.4786,0.0,0.0,66.743,3.18,HAPS
UE_017,45.37,17.174,14.301,-76.682,0.00011107,624.416,1.01,0.18,9.4,0.1512,0.0,0.0,85.052,4.8,HAPS
UE_018,105.78,16.014,14.172,-77.671,0.00010149,619.058,1.29,2.77,9.4,0.3526,0.0,0.0,84.602,4.76,HAPS
UE_019,111.59,14.76,11.616,-78.194,0.00100547,514.125,1.49,0.1,9.4,0.372,0.0,0.0,75.655,3.95,HAPS
UE_000,149.56,2.729,-0.379,-82.247,0.02002659,122.005,1.69,40.67,9.4,0.4985,0.0,0.0,33.675,0.94,HAPS
UE_001,109.8,24.006,19.765,-74.175,0.00010204,855.525,1.36,0.4,9.4,0.366,0.0,0.0,100.0,6.58,HAPS
UE_002,89.64,23.084,18.306,-74.569,0.00011752,793.309,1.3,0.1,9.4,0.2988,0.0,0.0,99.072,6.1,HAPS
UE_003,171.16,9.895,7.123,-80.142,0.0010003,340.839,1.32,0.5,9.4,0.5705,0.0,0.0,59.929,2.62,HAPS
UE_004,144.71,10.408,6.279,-80.321,0.00100489,310.819,1.33,2.12,9.4,0.4824,0.0,0.0,56.975,2.39,HAPS
UE_005,88.12,19.006,14.777,-74.683,0.0001094,644.277,1.22,3.87,9.4,0.2937,0.0,0.0,86.719,4.96,HAPS
UE_006,170.75,13.301,12.461,-79.43,0.00010616,548.468,1.16,0.69,9.4,0.5692,0.0,0.0,78.612,4.22,HAPS
UE_007,49.77,30.444,29.208,-71.02,1.816e-05,1261.593,0.59,0.96,9.4,0.1659,0.0,0.0,100.0,9.7,HAPS
UE_008,91.55,23.498,20.104,-74.532,2.755e-05,869.999,1.38,1.61,9.4,0.3052,0.0,0.0,100.0,6.69,HAPS
UE_009,175.24,18.646,16.101,-74.705,0.00010031,699.871,1.68,3.22,9.4,0.5841,0.0,0.0,91.354,5.38,HAPS
UE_010,109.93,17.137,14.08,-76.124,0.0001171,615.224,1.52,2.01,9.4,0.3664,0.0,0.0,84.279,4.73,HAPS
UE_011,116.34,17.681,13.263,-77.448,0.00010101,581.414,1.53,0.64,9.4,0.3878,0.0,0.0,81.421,4.47,HAPS
UE_012,145.76,-25.315,-28.293,-97.249,0.02001703,0.278,1.75,12.86,9.4,0.4859,37.68,37.76,0.0,0.0,HAPS
UE_013,174.16,7.569,5.042,-80.959,0.02000983,268.826,1.37,1.84,9.4,0.5805,0.0,0.0,52.646,2.07,HAPS
UE_014,109.27,19.749,16.26,-75.283,0.00010807,706.557,1.08,0.97,9.4,0.3642,0.0,0.0,91.909,5.44,HAPS
UE_015,115.63,17.742,15.768,-75.611,0.00010726,685.866,1.02,0.17,9.4,0.3854,0.0,0.0,90.19,5.28,HAPS
UE_016,143.55,19.102,16.683,-76.973,0.00010798,724.431,1.37,0.88,9.4,0.4785,0.0,0.0,93.39,5.57,HAPS
UE_017,45.52,28.444,25.497,-71.728,3.632e-05,1101.627,0.76,2.18,9.4,0.1517,0.0,0.0,100.0,8.47,HAPS
UE_018,105.59,15.651,13.83,-76.567,0.00011519,604.858,1.27,0.11,9.4,0.352,0.0,0.0,83.405,4.65,HAPS
UE_019,111.39,-27.837,-30.933,-97.769,0.02000703,0.151,1.17,36.65,9.4,0.3713,42.02,33.16,0.0,0.0,HAPS
UE_000,149.53,13.15,12.92,-79.052,0.00011812,567.31,1.53,0.57,9.4,0.4984,0.0,0.0,80.222,4.36,HAPS
UE_001,109.95,13.682,11.214,-79.247,0.00100929,497.957,0.79,1.78,9.4,0.3665,0.0,0.0,74.25,3.83,HAPS
UE_002,89.47,20.379,16.132,-74.885,0.00010621,701.166,0.86,0.41,9.4,0.2982,0.0,0.0,91.461,5.39,HAPS
UE_003,171.05,7.584,5.704,-80.391,0.02000619,290.979,1.82,2.15,9.4,0.5702,0.0,0.0,54.962,2.24,HAPS
UE_004,144.78,9.955,7.414,-80.093,0.00101661,351.44,1.21,0.5,9.4,0.4826,0.0,0.0,60.949,2.7,HAPS
UE_005,88.31,14.31,10.444,-77.398,0.00100213,467.244,0.92,7.08,9.4,0.2944,0.0,0.0,71.555,3.59,HAPS
UE_006,170.93,12.006,10.688,-78.968,0.0010003,476.921,1.38,0.77,9.4,0.5698,0.0,0.0,72.408,3.67,HAPS
UE_007,49.59,29.417,26.918,-71.334,2.278e-05,1162.838,0.67,2.58,9.4,0.1653,0.0,0.0,100.0,8.94,HAPS
UE_008,91.73,18.002,13.562,-74.552,0.00010197,593.766,1.15,0.77,9.4,0.3058,0.0,0.0,82.468,4.57,HAPS
UE_009,175.16,8.165,6.448,-82.267,0.00100586,316.756,1.66,0.1,9.4,0.5839,0.0,0.0,57.568,2.44,HAPS
UE_010,109.75,15.367,13.433,-77.834,0.00011409,588.414,1.17,1.31,9.4,0.3658,0.0,0.0,82.015,4.53,HAPS
UE_011,116.45,1.004,-2.682,-86.18,0.02001759,80.884,1.12,30.52,9.4,0.3882,16.48,10.5,25.611,0.62,HAPS
UE_012,145.58,-20.986,-22.192,-95.793,0.02000805,1.129,1.34,24.46,9.4,0.4853,37.68,37.72,0.0,0.01,HAPS
UE_013,174.32,15.702,11.651,-79.083,0.00101207,515.559,1.54,2.28,9.4,0.5811,0.0,0.0,75.779,3.97,HAPS
UE_014,109.08,11.812,7.599,-79.143,0.00100675,358.202,1.36,1.9,9.4,0.3636,0.0,0.0,61.595,2.76,HAPS
UE_015,115.46,10.588,10.209,-81.276,0.00100074,457.941,0.84,0.39,9.4,0.3849,0.0,0.0,70.731,3.52,HAPS
UE_016,143.51,15.859,12.304,-77.708,0.00011189,542.07,1.46,0.12,9.4,0.4784,0.0,0.0,78.064,4.17,HAPS
UE_017,45.68,26.004,20.831,-71.202,2.049e-05,901.114,0.96,0.33,9.4,0.1523,0.0,0.0,100.0,6.93,HAPS
UE_018,105.4,18.257,16.89,-75.669,0.00011516,733.194,1.24,1.8,9.4,0.3513,0.0,0.0,94.115,5.64,HAPS
UE_019,111.19,-14.163,-16.998,-92.444,0.02000584,3.707,0.9,6.07,9.4,0.3706,42.02,33.11,0.0,0.03,HAPS
UE_000,149.51,10.837,9.921,-80.432,0.00100105,446.61,1.38,1.05,9.4,0.4984,0.0,0.0,69.722,3.44,HAPS
UE_001,110.1,21.186,17.455,-74.44,0.00011795,757.138,0.79,0.17,9.4,0.367,0.0,0.0,96.093,5.82,HAPS
UE_002,89.3,14.709,9.648,-81.127,0.0010087,435.946,1.1,1.79,9.4,0.2977,0.0,0.0,68.767,3.35,HAPS
UE_003,170.94,13.806,12.85,-77.415,0.00011847,564.403,1.7,0.62,9.4,0.5698,0.0,0.0,79.974,4.34,HAPS
UE_004,144.84,12.326,9.632,-77.904,0.00100422,435.337,1.16,4.04,9.4,0.4828,0.0,0.0,68.712,3.35,HAPS
UE_005,88.5,14.283,10.791,-76.792,0.00101169,481.015,0.59,1.93,9.4,0.295,0.0,0.0,72.768,3.7,HAPS
UE_006,171.11,14.436,12.916,-78.153,0.00010834,567.133,1.76,2.72,9.4,0.5704,0.0,0.0,80.207,4.36,HAPS
UE_007,49.41,22.354,18.96,-73.794,0.00011278,821.169,0.67,0.1,9.4,0.1647,0.0,0.0,100.0,6.32,HAPS
UE_008,91.9,13.967,8.478,-77.992,0.0010009,391.003,1.38,0.6,9.4,0.3063,0.0,0.0,64.671,3.01,HAPS
