UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UAV_016,1.4831,24.598,19.598,-56.901,1.21e-06,91.363,1.61,1.5,-127.7,0.005,0.0,0.0,100.0,6.526,163.6,17.9,UAV,4.525726465552543,5.9172142707626385,0.9162907318741551
UAV_017,0.8562000000000001,33.27,30.67,-52.665,1e-08,142.653,1.506,3.0,-113.2,0.003,0.0,0.0,100.0,10.19,349.5,19.1,UAV,4.9674006693005115,7.999956572723137,1.3862943611198906
UAV_018,1.0217,29.735,26.235,-55.933,2e-08,122.058,1.007,0.5,-150.2,0.003,0.0,0.0,100.0,8.718,247.9,19.0,UAV,4.812655788945593,7.698948290154774,0.4054651081081644
UAV_019,0.5564,45.613,41.713,-46.293,1e-08,193.998,1.104,2.1,128.5,0.002,0.0,0.0,100.0,13.857,447.7,16.1,UAV,5.272989302100893,7.999956572723137,1.1314021114911006
UAV_000,1.504,30.476,26.476,-55.362,1e-08,123.176,1.61,1.6,84.1,0.005,0.0,0.0,100.0,8.798,437.0,14.0,UAV,4.821699914111783,7.999956572723137,0.9555114450274365
UAV_001,1.4892999999999998,29.123,26.323,-55.738,1e-08,122.467,1.31,2.8,-26.1,0.005,7.0,0.238,100.0,8.748,354.3,13.4,UAV,4.815973913884288,7.999956572723137,1.33500106673234
UAV_002,1.701,26.607,23.307,-57.297,1.05e-06,108.486,1.111,0.8,64.4,0.006,0.0,0.0,100.0,7.749,422.8,14.3,UAV,4.695796687201272,5.978810287316467,0.5877866649021191
UAV_003,1.2445,31.821,29.621,-53.49,1e-08,137.779,1.808,0.9,-58.0,0.004,0.0,0.0,100.0,9.841,287.6,15.8,UAV,4.932882739796213,7.999956572723137,0.6418538861723948
UAV_004,0.6385,41.818,38.018,-48.991,1e-08,176.813,1.704,2.6,-35.4,0.002,0.0,0.0,100.0,12.629,168.2,16.6,UAV,5.180732436267487,7.999956572723137,1.2809338454620645
UAV_005,1.2969000000000002,25.563,23.863,-56.719,1.07e-06,111.061,1.209,1.1,-37.2,0.004,0.0,0.0,100.0,7.933,330.9,14.5,UAV,4.719043365888148,5.970615816432287,0.7419373447293773
UAV_006,0.6145,41.85,39.05,-49.775,1e-08,181.614,1.104,1.2,-98.4,0.002,0.0,0.0,100.0,12.972,404.4,12.6,UAV,5.207374635539484,7.999956572723137,0.7884573603642702
UAV_007,0.8765,35.965,32.765,-51.917,1e-08,152.393,1.706,1.0,-47.9,0.003,0.0,0.0,100.0,10.885,171.5,19.0,UAV,5.033003255558201,7.999956572723137,0.6931471805599453
UAV_008,2.5381,23.931,22.331,-58.435,1.5e-06,103.972,1.017,2.5,-88.8,0.008,0.0,0.0,100.0,7.427,370.0,11.1,UAV,4.6536936479289785,5.823908451414761,1.252762968495368
UAV_009,0.5902999999999999,42.4,39.9,-49.4,1e-08,185.564,1.704,2.4,-143.6,0.002,0.0,0.0,100.0,13.255,238.2,18.8,UAV,5.228774343755604,7.999956572723137,1.2237754316221157
UAV_010,2.0696,22.303,18.503,-58.148,1.41e-06,86.335,1.514,2.8,150.0,0.007,0.0,0.0,99.761,6.167,63.7,18.9,UAV,4.4697512988803565,5.850780579334458,1.33500106673234
